,file_path,sentence,section,0,0_span,weight_0
125,/content/fin_climate_justice/PMC11190360/sections/2_body/3_discussion_and_conclusion/2_p.xml,"While there is still much to learn about how environmental injustice specifically impacts women in Jamaica, the available evidence suggests that women from marginalised communities are likely at a higher risk of exposure to environmental hazards and may experience negative health impacts as a result.",DIS,Jamaica,"(99, 106)",1
127,/content/fin_climate_justice/PMC11190360/sections/2_body/3_discussion_and_conclusion/2_p.xml,"Low-income women in Jamaica often find themselves constrained by traditional gender roles, which dictate specific responsibilities within the household ( Bolles, 1997 ).",DIS,Jamaica,"(20, 27)",1
134,/content/fin_climate_justice/PMC11190360/sections/2_body/3_discussion_and_conclusion/3_p.xml,"Environmental injustice in Jamaica is a pressing issue that disproportionately affects marginalised communities, subjecting them to elevated levels of pollution and environmental hazards.",DIS,Jamaica,"(27, 34)",1
317,/content/fin_climate_justice/PMC9566374/sections/2_body/2_3._description_and_discussion_/4_3.2._structural_determinants/3_3.2.2._axes_of_inequality/2_p.xml,"This is especially the case in northern Mediterranean cities, such as those in France, Spain, Italy and Greece, countries of the European Union with the highest levels of life expectancy  48 .",DIS,"France, Greece, Italy, Spain","(79, 85), (104, 110), (94, 99), (87, 92)",4
392,/content/fin_climate_justice/PMC9566374/sections/2_body/2_3._description_and_discussion_/7_3.5._impacts_on_health_and_hea/2_3.5.1._direct_impacts/3_p.xml,"For example, in several Mediterranean climate areas, including Italy, Greece and California, an increase in psychiatric consultations and suicides was observed in relation to high extreme temperatures  80 , 81 , 82 .",DIS,"Greece, Italy","(70, 76), (63, 68)",2
429,/content/fin_climate_justice/PMC9566374/sections/2_body/2_3._description_and_discussion_/6_3.4._climate_and_consequences/2_3.4.2._indirect_effects/1_environmental_consequences/2_p.xml,"Outbreaks of dengue virus have been detected in the city of Nimes in southern France  56 , and of chikungunya virus in Italy, notably in the cities of Castiglione di Cervia and Castiglione di Ravenna  57 , 58 .",DIS,"France, Italy","(78, 84), (121, 126)",2
443,/content/fin_climate_justice/PMC9566374/sections/2_body/2_3._description_and_discussion_/6_3.4._climate_and_consequences/2_3.4.2._indirect_effects/1_environmental_consequences/5_p.xml,"Disastrous flash floods are already frequent and will likely become more frequent in many Mediterranean countries including Italy, France and Spain, affecting coastal areas, in particular, where population and urban settlements are growing in flood-prone areas  21 .",DIS,"France, Italy, Spain","(131, 137), (124, 129), (142, 147)",3
698,/content/fin_climate_justice/PMC11018717/sections/2_body/2_methods/6_case-based_discussions/1_p.xml,Each case was based on events and/or trends observed in northern New Jersey.,DIS,Jersey,"(69, 75)",1
923,/content/fin_climate_justice/PMC10558031/sections/2_body/3_4._discussion/1_4.1_varied_mental_health_respo/6_the_most_vulnerable_among_us_c/1_p.xml,"Carleton  70  notes that heat stress due to high ambient heat temperature may be responsible for 60,000 additional suicides in India.",DIS,India,"(129, 134)",1
956,/content/fin_climate_justice/PMC11293106/sections/2_body/3_discussion/4_p.xml,"For instance, during the 2006 heat wave in Portugal, for every 1 °C rise in mean temperature, all-cause mortality rose by 2.7% and COPD incidence rose by 5.4%.",DIS,Portugal,"(43, 51)",1
964,/content/fin_climate_justice/PMC11293106/sections/2_body/3_discussion/1_p.xml,"Our findings reveal that middle-aged males constitute the majority of smokers in Egypt, with nearly half experiencing dyspnea on exertion, which could significantly disrupt their daily activities during their most productive years.",DIS,Egypt,"(81, 86)",1
971,/content/fin_climate_justice/PMC11293106/sections/2_body/3_discussion/5_p.xml,Pharmacological and psychological interventions have shown efficacy in aiding smoking cessation in Egypt.,DIS,Egypt,"(99, 104)",1
974,/content/fin_climate_justice/PMC11293106/sections/2_body/3_discussion/5_p.xml,HLI is a significant step in Egypt’s developing anti-smoking campaign that made a clear link between cigarette smoking and lung cancer and encouraged smoking cessation and stricter tobacco controls.,DIS,Egypt,"(29, 34)",1
979,/content/fin_climate_justice/PMC11293106/sections/2_body/3_discussion/3_p.xml,"In our study, the percentage of adult participants who reported smoking 10–20 cigarettes per day at the 27th Conference of the Parties to the United Nations Framework Convention on Climate Change (UNFCCC) in Egypt was 47.2%.",DIS,Egypt,"(208, 213)",1
1016,/content/fin_climate_justice/PMC11550006/sections/2_body/2_discussion/10_p.xml,"The contributions to the hypothetical climate vulnerability fund by the US, China, Japan, Russia, or European Union countries represent relatively low percentages of their GDP and contrast with the excessively high percentages that vulnerable countries would have to face to mitigate the climate impacts suffered in their regions that trigger climate migration.",DIS,"Russia, Japan","(90, 96), (83, 88)",2
1035,/content/fin_climate_justice/PMC11550006/sections/2_body/2_discussion/14_p.xml,"9  The demographic and environmental breakdown of some capital cities in developing countries—such as Dhaka in Bangladesh 74 , 75 —suggests the possibility that internal climate migration may lead to international migration toward more prosperous economies.",DIS,Bangladesh,"(111, 121)",1
1046,/content/fin_climate_justice/PMC11550006/sections/2_body/2_discussion/8_p.xml,"According to the first proposal, the top five countries according to historical CBA emissions (the US, China, Japan, Russia, and India) would be responsible for more than 50% of the persons internally displaced due to climate reasons.",DIS,"Russia, India, Japan","(117, 123), (129, 134), (110, 115)",3
1047,/content/fin_climate_justice/PMC11550006/sections/2_body/2_discussion/8_p.xml,"The second proposal includes additional countries that are responsible for such migrants, such as Thailand, Vietnam, Indonesia, or Malaysia; these countries are relevant trade partners of vulnerable countries and receivers of climate refugees due to their cultural and geographical proximity.",DIS,"Indonesia, Vietnam, Thailand, Malaysia","(117, 126), (108, 115), (98, 106), (131, 139)",4
